rssi,encryption_code,is_public,dns_response_ms,beacon_interval,bssid_changes,rssi_variance,frequency_ghz
-54,3,0,63,100,0,2.6,2.4
-52,3,1,71,100,1,0.78,5.0
-38,2,0,32,100,0,2.26,2.4
-57,2,0,61,100,0,1.43,2.4
-39,3,0,28,100,0,1.81,2.4
-55,2,1,80,100,0,0.84,2.4
-70,2,0,14,100,1,1.38,5.0
-43,3,0,26,100,0,1.35,5.0
-68,2,0,63,100,0,2.78,2.4
-27,2,0,23,100,0,1.43,5.0
-36,3,0,6,100,0,3.48,5.0
-41,2,1,75,100,0,3.01,2.4
-71,3,1,37,100,1,3.05,5.0
-47,3,1,5,100,0,1.11,2.4
-46,2,1,75,100,0,2.89,2.4
-70,3,1,15,100,0,1.14,5.0
-41,2,0,49,100,0,2.68,2.4
-48,3,1,69,100,1,2.77,5.0
-38,3,1,47,100,0,1.48,5.0
-47,3,0,35,100,0,0.51,2.4
-29,2,1,5,100,0,3.87,5.0
-64,3,0,13,100,1,1.23,5.0
-60,2,0,24,100,0,3.45,5.0
-25,3,1,36,100,0,3.02,5.0
-49,2,0,51,100,0,2.44,5.0
-67,2,0,12,100,0,0.6,5.0
-54,3,0,45,100,0,0.86,2.4
-67,2,1,43,100,0,1.37,2.4
-47,2,1,13,100,1,1.95,2.4
-57,3,1,50,100,0,1.16,2.4
-69,2,0,31,100,1,2.94,5.0
-41,2,1,74,100,0,3.67,5.0
-71,3,0,49,100,1,3.52,5.0
-43,3,1,34,100,0,2.02,5.0
-70,2,0,75,100,1,1.12,2.4
-71,2,1,60,100,1,0.65,5.0
-36,3,1,80,100,1,2.34,5.0
-64,2,0,62,100,0,1.65,2.4
-60,2,0,26,100,1,2.39,5.0
-70,2,0,25,100,0,1.23,5.0
-51,3,0,21,100,0,3.75,5.0
-41,3,0,59,100,1,2.96,5.0
-64,3,0,72,100,0,3.09,2.4
-29,2,0,5,100,1,3.98,5.0
-47,2,0,61,100,0,3.85,2.4
-49,2,0,33,100,0,2.73,5.0
-27,3,1,36,100,0,3.62,2.4
-63,2,1,68,100,0,0.7,5.0
-62,3,0,79,100,0,1.26,2.4
-26,3,0,21,100,0,2.43,5.0
-74,3,0,37,100,0,3.17,2.4
-54,3,0,42,100,0,2.32,2.4
-38,3,1,9,100,0,0.86,5.0
-45,2,0,79,100,0,2.73,5.0
-50,3,0,72,100,0,3.44,5.0
-51,2,0,40,100,1,2.85,5.0
-28,3,1,34,100,0,1.16,2.4
-36,2,0,41,100,1,2.61,5.0
-41,3,1,8,100,0,2.81,5.0
-65,2,0,45,100,1,3.44,5.0
-65,3,0,9,100,0,1.94,5.0
-62,2,0,21,100,0,1.29,2.4
-39,2,0,35,100,1,2.25,5.0
-66,2,0,50,100,0,2.42,2.4
-55,2,0,74,100,0,3.81,5.0
-62,2,1,40,100,0,1.64,5.0
-74,2,1,67,100,0,2.29,5.0
-71,3,1,51,100,1,2.01,5.0
-46,3,0,68,100,0,2.49,5.0
-52,2,0,46,100,0,2.91,5.0
-67,2,1,19,100,0,2.3,5.0
-71,2,0,25,100,0,0.96,5.0
-66,2,1,72,100,1,1.07,2.4
-50,3,0,13,100,1,2.7,2.4
-70,3,0,67,100,0,2.99,5.0
-66,2,0,10,100,0,2.16,5.0
-27,3,1,30,100,0,2.3,2.4
-56,2,0,51,100,0,1.1,2.4
-25,2,0,41,100,0,3.08,2.4
-38,2,1,34,100,0,2.75,2.4
-39,3,0,27,100,0,3.38,2.4
-52,2,0,66,100,1,1.61,2.4
-30,2,0,66,100,1,3.7,2.4
-67,2,0,46,100,0,1.92,2.4
-40,2,0,31,100,0,3.09,2.4
-59,3,1,13,100,0,1.25,5.0
-31,2,1,59,100,1,1.96,2.4
-44,2,0,21,100,0,3.19,2.4
-74,2,0,31,100,1,0.79,2.4
-73,2,0,80,100,0,2.46,2.4
-36,2,0,79,100,0,2.87,5.0
-52,2,0,19,100,1,0.88,2.4
-43,2,0,32,100,0,1.62,2.4
-69,3,0,34,100,0,3.58,5.0
-44,2,0,13,100,0,0.8,2.4
-31,2,0,69,100,0,1.52,5.0
-74,2,0,31,100,0,0.58,2.4
-58,3,0,60,100,0,3.85,2.4
-59,3,1,49,100,0,3.39,5.0
-46,3,0,50,100,0,1.03,2.4
-51,2,0,55,100,0,3.42,5.0
-34,2,0,12,100,0,3.2,5.0
-74,2,1,31,100,0,1.99,5.0
-74,2,0,40,100,0,3.7,5.0
-50,2,0,36,100,0,2.92,2.4
-74,3,0,45,100,1,3.37,2.4
-38,3,0,40,100,0,2.46,2.4
-60,2,0,43,100,0,3.46,5.0
-54,3,0,41,100,1,2.93,2.4
-36,2,0,64,100,0,2.6,2.4
-39,3,0,23,100,1,3.48,5.0
-41,2,0,75,100,0,3.1,5.0
-55,2,0,19,100,1,3.84,2.4
-62,3,0,35,100,0,2.23,2.4
-40,3,0,55,100,1,3.44,2.4
-66,2,0,9,100,0,2.93,5.0
-59,3,0,71,100,0,1.95,5.0
-42,3,1,39,100,0,1.88,5.0
-26,2,0,9,100,0,1.3,5.0
-54,3,0,78,100,0,2.18,2.4
-68,3,0,70,100,0,0.52,2.4
-68,3,0,15,100,0,2.04,2.4
-30,3,0,53,100,0,0.75,5.0
-68,2,0,54,100,0,3.51,5.0
-71,2,0,56,100,0,3.24,5.0
-54,3,1,49,100,0,1.11,5.0
-43,2,1,69,100,0,3.74,2.4
-44,3,0,39,100,0,1.19,5.0
-35,3,0,48,100,1,1.74,5.0
-25,3,0,6,100,0,3.97,2.4
-70,3,0,24,100,0,3.21,2.4
-42,3,1,39,100,0,2.92,5.0
-28,2,1,72,100,0,2.37,2.4
-38,3,1,7,100,1,1.18,2.4
-26,2,1,51,100,0,2.4,2.4
-63,3,0,7,100,0,1.46,5.0
-40,3,0,65,100,0,0.62,5.0
-64,3,0,78,100,0,3.57,2.4
-56,2,0,37,100,0,2.65,5.0
-48,3,0,22,100,0,3.93,5.0
-31,3,1,21,100,0,1.7,2.4
-75,2,1,13,100,0,1.22,5.0
-46,3,0,79,100,0,1.32,2.4
-49,2,0,25,100,0,1.47,5.0
-30,2,0,11,100,0,2.06,5.0
-40,2,0,41,100,0,2.07,2.4
-28,2,0,39,100,1,1.56,5.0
-70,3,0,36,100,0,3.0,2.4
-25,2,0,66,100,0,2.86,5.0
-30,3,1,67,100,1,3.98,2.4
-33,2,0,22,100,0,3.6,5.0
-58,3,1,17,100,0,1.7,2.4
-29,2,1,9,100,1,3.27,5.0
-71,2,1,78,100,0,0.91,5.0
-68,2,0,56,100,0,1.39,2.4
-69,2,0,78,100,0,1.77,5.0
-64,3,1,32,100,1,3.71,5.0
-30,2,0,68,100,0,3.9,5.0
-46,2,0,65,100,1,2.46,2.4
-35,2,0,36,100,0,1.67,2.4
-65,2,0,75,100,0,3.14,5.0
-45,2,1,56,100,0,3.05,2.4
-41,3,0,31,100,1,3.97,5.0
-46,2,1,44,100,0,3.15,2.4
-69,2,0,29,100,0,0.53,2.4
-47,2,0,67,100,1,3.22,5.0
-30,3,0,26,100,0,2.25,2.4
-39,2,0,69,100,0,2.58,5.0
-44,3,1,57,100,0,2.65,5.0
-72,3,0,39,100,0,1.88,5.0
-67,3,1,55,100,0,2.87,2.4
-26,2,0,62,100,1,1.45,5.0
-39,3,0,10,100,0,1.58,2.4
-27,2,0,28,100,0,3.91,5.0
-36,2,0,32,100,0,3.46,5.0
-33,3,0,26,100,0,3.83,2.4
-60,2,0,64,100,0,3.21,2.4
-29,3,0,47,100,0,2.01,5.0
-66,2,0,64,100,0,3.11,5.0
-68,2,0,76,100,0,2.19,2.4
-72,3,0,56,100,0,2.6,2.4
-63,2,1,60,100,0,1.26,5.0
-67,2,0,56,100,0,3.21,2.4
-46,2,0,68,100,0,1.15,2.4
-69,2,0,34,100,0,3.39,2.4
-75,3,0,31,100,0,3.77,2.4
-62,3,0,39,100,0,1.17,2.4
-32,2,0,73,100,0,1.78,2.4
-67,3,1,75,100,0,1.44,2.4
-47,2,0,19,100,0,3.82,5.0
-41,2,1,42,100,0,3.45,5.0
-56,3,0,17,100,0,2.21,2.4
-46,2,1,42,100,0,1.63,2.4
-35,3,0,59,100,1,2.35,2.4
-59,2,0,78,100,0,1.27,5.0
-36,3,0,32,100,0,2.93,2.4
-60,2,0,70,100,0,3.15,5.0
-53,3,0,8,100,0,1.66,5.0
-48,3,1,9,100,0,2.76,2.4
-56,3,1,65,100,0,3.55,5.0
-60,2,0,16,100,0,1.31,5.0
-64,3,0,65,100,0,1.09,2.4
-55,3,1,35,100,0,1.53,5.0
-61,3,0,41,100,0,1.2,5.0
-55,3,1,51,100,0,3.23,5.0
-63,2,1,12,100,1,2.22,2.4
-72,2,0,7,100,0,3.08,5.0
-62,3,1,33,100,0,1.73,5.0
-33,3,0,28,100,0,3.81,2.4
-57,3,0,77,100,0,2.59,2.4
-48,3,0,17,100,1,0.93,2.4
-56,3,1,7,100,0,1.23,2.4
-49,3,0,62,100,1,3.6,2.4
-33,3,0,51,100,0,0.82,5.0
-25,2,0,30,100,0,0.84,5.0
-57,3,0,6,100,0,1.73,5.0
-60,3,1,60,100,1,3.42,5.0
-44,2,0,74,100,0,3.19,2.4
-28,3,0,69,100,1,0.6,5.0
-51,3,0,16,100,1,1.17,5.0
-28,3,1,16,100,1,2.35,2.4
-47,3,0,38,100,0,0.65,5.0
-43,3,0,69,100,0,1.88,5.0
-72,2,0,10,100,1,3.51,5.0
-58,3,0,38,100,0,1.54,2.4
-53,3,1,47,100,0,3.99,2.4
-69,3,1,9,100,0,2.27,2.4
-75,2,0,47,100,0,1.97,5.0
-51,3,0,43,100,1,3.31,2.4
-45,3,0,61,100,0,2.11,2.4
-33,2,1,15,100,0,1.12,5.0
-73,2,1,45,100,0,2.43,5.0
-30,2,0,10,100,0,0.93,2.4
-62,2,0,21,100,1,1.96,5.0
-75,2,0,70,100,0,1.6,2.4
-26,2,0,80,100,0,3.25,5.0
-63,2,0,8,100,0,1.15,5.0
-53,3,0,74,100,0,3.69,2.4
-51,2,0,77,100,1,0.91,5.0
-35,3,0,50,100,0,0.92,2.4
-33,2,1,73,100,0,0.79,5.0
-25,3,0,66,100,0,2.38,5.0
-36,2,0,25,100,1,3.68,5.0
-74,3,0,59,100,0,1.04,2.4
-62,2,0,29,100,0,2.52,2.4
-67,2,0,10,100,0,3.8,2.4
-45,2,1,68,100,0,2.33,5.0
-51,2,1,37,100,1,0.52,5.0
-69,2,0,58,100,0,3.02,2.4
-72,3,0,14,100,0,1.61,2.4
-65,2,0,75,100,0,0.67,2.4
-41,2,0,21,100,0,3.56,2.4
-63,2,0,46,100,0,2.54,5.0
-38,2,0,59,100,0,1.27,5.0
-33,3,1,76,100,1,2.95,2.4
-74,3,0,78,100,0,3.51,2.4
-57,3,0,49,100,0,0.81,2.4
-27,2,0,59,100,0,2.32,5.0
-25,3,0,76,100,0,1.39,5.0
-73,2,1,18,100,0,0.63,2.4
-58,3,0,38,100,0,2.48,5.0
-74,3,0,80,100,0,3.4,2.4
-49,2,1,38,100,0,1.89,2.4
-32,3,0,67,100,0,1.0,5.0
-70,3,0,7,100,0,2.67,5.0
-34,3,1,27,100,0,3.47,5.0
-46,3,1,15,100,1,3.32,2.4
-73,2,1,41,100,0,0.99,5.0
-68,3,0,53,100,1,1.62,2.4
-67,3,0,62,100,0,0.8,5.0
-51,2,1,60,100,0,3.19,5.0
-37,2,0,56,100,1,2.58,5.0
-45,2,0,55,100,0,1.82,5.0
-28,3,0,10,100,0,0.72,5.0
-44,2,0,16,100,0,1.63,5.0
-64,2,0,24,100,0,3.4,5.0
-73,2,0,71,100,1,1.58,5.0
-71,3,0,18,100,0,3.85,2.4
-54,2,0,51,100,0,1.66,2.4
-63,2,0,52,100,0,0.56,2.4
-57,2,0,24,100,0,3.04,2.4
-75,2,0,79,100,0,3.71,2.4
-29,2,0,14,100,0,3.52,5.0
-43,2,0,30,100,0,3.57,5.0
-38,2,0,10,100,0,0.84,2.4
-48,2,0,16,100,0,2.22,2.4
-43,2,0,10,100,1,1.84,5.0
-65,3,0,64,100,1,3.2,5.0
-62,3,0,69,100,0,2.08,5.0
-26,3,0,58,100,0,3.19,5.0
-43,2,0,68,100,0,1.6,5.0
-28,2,0,46,100,0,1.64,2.4
-46,2,0,47,100,0,3.95,5.0
-54,3,0,75,100,1,1.15,5.0
-65,2,0,61,100,0,2.15,5.0
-51,2,0,74,100,1,3.89,5.0
-55,3,0,21,100,0,2.69,5.0
-62,2,0,54,100,1,1.76,2.4
-69,3,0,55,100,0,0.83,2.4
-45,3,0,37,100,0,1.27,2.4
